peril,n.危险
experienced,adj.有经验的；熟练的
confess,v.承认；坦⽩
murder,n./v.谋杀
mortgage,n.按揭贷款
cite,v.引⽤；列举
account,n.账户；描述 v.认为是
accountable,adj.负责任的
discount,n.折扣
charge,n.收费；控告；掌管；电荷 v.收费；控诉；充电
organism,n.有机体；⽣物体
journalism,n.新闻业
journal,n.杂志；期刊；⽇记
capital,n.资本；⾸都；⼤写字⺟
credit,n.信⽤；信⽤贷款
incredible,adj.难以置信的；极好的
civil,adj.公⺠的；⺠事的
citizen,n.市⺠
civilization,n.⽂明；开化
campaign,n.活动；战役
campus,n.校园
barrier,n.屏障；障碍
squeeze,v.挤；压
aptitude,n.能⼒；天赋
adapt,v.改编；适应
phase,n.阶段；时期
cabinet,n.储藏柜；内阁
blanket,n.⽑毯 adj.总结的
bundle,n.捆；⼀批
sparkle,n.闪烁；活⼒ v.闪耀
startle,v.使惊吓
packet,n.⼩包裹
scenery,n.⻛景；舞台布景
anchor,n.锚 v.抛锚
custom,n.⻛俗；习惯
counter,n.柜台；对⽴⾯ adj.反⾯的 v.反驳
shelter,n.庇护处 v.躲避；保护
hinder,v.妨碍；阻碍
contend,v.声称；主张；竞争
content,n.内容；⽬录 adj.满意的 v.使满意
imply,v .暗示；说明
implicit,adj.含蓄的；内含的
implication,n.可能的影响；暗指；牵涉
flexible,adj.灵活的
debate,n./v .讨论；辩论
declare,v.声明；宣告
detail,n.细节；详情
determine,v.决定；决⼼
devote,v.奉献；专⽤于
devotion,n.奉献；忠诚
decline,v./n.减少；下降
medium,adj.中等的 n.媒介
immediate,adj.⽴即的；⽬前的
intermediate,adj.中间的；中级的
command,v.命令 n.指示；命令
recommend,v.推荐；劝告
minister,n.部⻓；⼤⾂
minor,adj.少数的；次要的；较⼩的
complex,adj.复杂的
prominent,adj.突出的；杰出的
edition,n.版本
editor,n.编辑；编者
radical,adj.激进的；根本的 n.激进分⼦
ample,adj.充⾜的；⾜够的
voyage,v./n.航⾏；航海
bonus,n.奖⾦；红利
migrate,v.迁徙；迁移
migrant,n.移⺠；候⻦
obese,adj.肥胖的；病态肥胖的
bid,v./n.出价；投标；努⼒争取
glory,n.荣誉；光荣
judgement,（亦作 judgment） n.判断； 判决； 意⻅
liquid,n.液体 adj.液体的
diminish,v .减少；降低
delete,v.删除
delighted,adj.⾼兴的；快乐的
deny,v.否定；否认；拒绝
department,n.部⻔；部；司
deposit,v.储存；放置 n.订⾦；存
despite,prep.尽管；不管
domestic,adj.国内的；家庭的；驯养的
partial,adj.部分的；偏袒的
depart,v.离开；出发；启程；离职
departure,n.离开；启程
derive,v.（使）起源；获得 1
deprive,v.剥夺；使丧失
particle,n.粒⼦；微粒
particularly,adv.尤其；特别
circuit,n.环⾏；巡回；电路
circular,adj.圆的；环形的；循环的
circulate,v.循环；流传
extend,v.延伸；扩展
extension,n.延伸；延⻓
extensive,adj.⼴阔的；⼴泛的
comparative,adj.⽐较的；相⽐的
appear,v.出现
appearance,n.外貌；出现
parade,n.游⾏；检阅 v.游⾏
separate,adj.单独的；分开的 v.（使）分开；分离
parallel,adj.平⾏的；相似的
rhythm,n.节奏；韵律
drawback,n.缺点；缺陷；不利条件
graceful,adj.优美的；优雅的；得体的
gratitude,n.感谢；感激
peculiar,adj.奇怪的；特殊的
guidance,n.指导；指引
significance,n.意义；重要性
significant,adj.显著的；重要的
tolerate,v.容许；容忍；允许
tolerance,n.忍受；宽容；忍受
tolerant,adj.容忍的；宽容的
assistance,n.帮助；援助
prohibit,v.禁⽌；阻⽌
prompt,adj.迅速的；⽴刻的 v.促使；导致
propose,v.提议；求婚
protest,v.抗议；反对 n.抗议；反对
provided,conj.在...条件下；假如
provision,n.预备；供应；规定；条款
proclaim,v.宣布；表明
provoke,v.激怒；引起
purchase,v./n.购买
pursue,v.追求；追赶
pursuit,n.追赶；追求；爱好
defeat,v.战胜；击败 n.击败；失败
deceive,v.欺骗；蒙骗
defy,v.反抗；不服从
anxious,adj.焦虑的；急切的
harmony,n.融洽；和谐
harmonious,adj.和谐的；协调的
infect,v.传染；感染
infectious,adj.传染的；有感染⼒的
spacious,adj.宽敞的
conscientious,adj.勤勉认真的；⼀丝不苟的
prosperous,adj.繁荣的；兴旺的
prosperity,n.繁荣；昌盛；兴旺
ambitious,adj.有抱负的；野⼼勃勃的
obvious,adj.明显的；显然的
tedious,adj.冗⻓的；单调乏味的
conscious,adj.意识到的；有知觉的；刻意的
consciousness,n.意识；知觉；观念
despair,n./v.绝望
